rank	crate_id	name	downloads
838	7025	string_cache_codegen	93751097
839	2915	adler32	93113658
840	300207	xxhash-rust	92999886
841	7544	cpp_demangle	92887778
842	200219	comfy-table	92865862
843	794562	zune-core	92836864
844	5646	os_pipe	92829621
845	1199427	byteorder-lite	92071800
846	151612	raw-window-handle	92008419
847	5564	yasna	91919450
848	196946	cfg-expr	91763281
849	759284	portable-atomic-util	91476859
850	9514	plain	91402314
851	1930	ipnetwork	91235411
852	108386	insta	90575340
853	7372	lz4-sys	90260047
854	105193	rcgen	89896037
855	140282	async-signal	89871847
856	784298	wit-bindgen-core	89618365
857	137922	async-std	89430726
858	803957	wit-bindgen-rust	88992263
859	10230	thrift	88935075
860	267582	tikv-jemallocator	88795750
861	116368	tokio-test	88651147
862	1601	lru-cache	88469872
863	372993	ark-std	88233358
864	648	handlebars	88233323
865	803965	wit-bindgen-rust-macro	88096659
866	836	language-tags	88068456
867	381628	cbc	88000870
868	161367	kv-log-macro	87929537
869	679358	arrow-schema	87630276
870	669362	arrow-buffer	87565167
871	679360	arrow-array	87459146
872	8949	serde_qs	87448263
873	373035	ark-serialize	87435357
874	373041	ark-ff-asm	87378825
875	373038	ark-ff-macros	87350439
876	679359	arrow-data	87227060
877	8363	structopt	87186251
878	373064	ark-ff	87083447
879	394562	aws-sdk-ssooidc	87006969
880	6767	poly1305	86925801
881	484467	block2	86829536
882	8362	structopt-derive	86625828
883	704617	arrow-select	86603840
884	78268	smawk	86339754
885	297742	chrono-tz-build	85626793
886	100262	triomphe	85361912
887	129727	metrics-util	85280141
888	468155	aws-smithy-eventstream	85228243
889	715216	arrow-cast	85185843
890	393248	jsonpath-rust	84800451
891	347	nalgebra	84785065
892	582267	hybrid-array	84462943
893	85328	nohash-hasher	84334782
894	4164	jpeg-decoder	84302686
895	484465	objc2-encode	83621291
896	1771263	tonic-prost	83558143
897	2461	tendril	82800168
898	8466	parse-zoneinfo	82540038
899	224005	jsonschema	82323594
900	395364	critical-section	81967218
901	314285	scc	81939555
902	1208432	sdd	81219395
903	2697	endian-type	80946567
904	1626	radix_trie	80872070
905	585938	object_store	80291112
906	166092	sketches-ddsketch	79783837
907	101450	actix-rt	79550874
908	394388	aws-sdk-s3	79549968
909	715218	arrow-ipc	79501081
910	2680	lalrpop-util	79452912
911	3973	fraction	79361731
912	3129	serde_cbor	79230986
913	52108	globwalk	79190877
914	1831465	wasip3	79094469
915	4174	take_mut	78936724
916	1550627	windows-future	78867211
917	1624	nibble_vec	78621259
918	7339	scroll	78532564
919	87831	p384	78322881
920	865166	windows-numerics	78230465
921	1545965	windows-collections	78220813
922	187036	bytestring	78015230
923	1328515	webpki-root-certs	77922830
924	290576	ouroboros	77842336
925	67510	assert_cmd	77818484
926	36736	actix-web	77799151
927	2979	fs2	77670918
928	124414	actix-http	77490577
